LocalTime,Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S,
20180418_210653,2018,4,19,12,18,21,6,53.0,
20180418_211029,2018,4,19,12,18,21,10,29.0,
20180418_214354,2018,4,19,12,18,21,43,54.0,
20180418_215240,2018,4,19,12,18,21,52,40.0,
20180418_221000,2018,4,19,12,18,22,10,0.0,
20180418_222830,2018,4,19,12,18,22,28,30.0,
20180418_222836,2018,4,19,12,18,22,28,36.0,
20180418_222957,2018,4,19,12,18,22,29,57.0,
20180418_223103,2018,4,19,12,18,22,31,3.0,
20180418_225153,2018,4,19,12,18,22,51,53.0,
20180418_225307,2018,4,19,12,18,22,53,7.0,
20180418_225324,2018,4,19,12,18,22,53,24.0,
20180418_230000,2018,4,19,12,18,23,0,0.0,
20180418_230225,2018,4,19,12,18,23,2,25.0,
20180418_230255,2018,4,19,12,18,23,2,55.0,
20180418_230341,2018,4,19,12,18,23,3,41.0,
20180418_230448,2018,4,19,12,18,23,4,48.0,
20180418_230544,2018,4,19,12,18,23,5,44.0,
20180418_231001,2018,4,19,12,18,23,10,1.0,
20180418_231704,2018,4,19,12,18,23,17,4.0,
20180418_232000,2018,4,19,12,18,23,20,0.0,
20180418_232012,2018,4,19,12,18,23,20,12.0,
20180418_232054,2018,4,19,12,18,23,20,54.0,
20180418_233251,2018,4,19,12,18,23,32,51.0,
20180418_234236,2018,4,19,12,18,23,42,36.0,
20180418_235227,2018,4,19,12,18,23,52,27.0,
20180419_001945,2018,4,19,12,19,0,19,45.0,
20180419_002026,2018,4,19,12,19,0,20,26.0,
20180419_002226,2018,4,19,12,19,0,22,26.0,
20180419_002816,2018,4,19,12,19,0,28,16.0,
20180419_003241,2018,4,19,12,19,0,32,41.0,
20180419_004214,2018,4,19,12,19,0,42,14.0,
20180419_004636,2018,4,19,12,19,0,46,36.0,
20180419_005443,2018,4,19,12,19,0,54,43.0,
20180419_011239,2018,4,19,12,19,1,12,39.0,
20180419_011249,2018,4,19,12,19,1,12,49.0,
20180419_012602,2018,4,19,12,19,1,26,2.0,
20180419_012602,2018,4,19,12,19,1,26,2.0,
20180419_012835,2018,4,19,12,19,1,28,35.0,
20180419_013339,2018,4,19,12,19,1,33,39.0,
20180419_014106,2018,4,19,12,19,1,41,6.0,
20180419_014141,2018,4,19,12,19,1,41,41.0,
20180419_014541,2018,4,19,12,19,1,45,41.0,
20180419_022815,2018,4,19,12,19,2,28,15.0,
20180419_024519,2018,4,19,12,19,2,45,19.0,
20180419_025607,2018,4,19,12,19,2,56,7.0,
20180419_025277,2018,4,19,12,19,2,52,77.0,
20180419_030741,2018,4,19,12,19,3,7,41.0,
20180419_031236,2018,4,19,12,19,3,12,36.0,
20180419_031644,2018,4,19,12,19,3,16,44.0,
20180419_031813,2018,4,19,12,19,3,18,13.0,
20180419_032702,2018,4,19,12,19,3,27,2.0,
20180419_033531,2018,4,19,12,19,3,35,31.0,
20180419_033652,2018,4,19,12,19,3,36,52.0,
20180419_035155,2018,4,19,12,19,3,51,55.0,
20180419_041333,2018,4,19,12,19,4,13,33.0,
20180419_042336,2018,4,19,12,19,4,23,36.0,
20180419_042744,2018,4,19,12,19,4,27,44.0,
20180419_043056,2018,4,19,12,19,4,30,56.0,
20180419_043107,2018,4,19,12,19,4,31,7.0,
20180419_215553,2018,4,19,12,19,21,55,53.0,
20180419_220450,2018,4,19,12,19,22,4,50.0,
20180419_221137,2018,4,19,12,19,22,11,37.0,
20180419_222613,2018,4,19,12,19,22,26,13.0,
20180419_224759,2018,4,19,12,19,22,47,59.0,
20180419_225739,2018,4,19,12,19,22,57,39.0,
20180419_225816,2018,4,19,12,19,22,58,16.0,
20180419_230706,2018,4,19,12,19,23,7,6.0,
20180419_231826,2018,4,19,12,19,23,18,26.0,
20180419_231851,2018,4,19,12,19,23,18,51.0,
20180419_233150,2018,4,19,12,19,23,31,50.0,
20180419_233316,2018,4,19,12,19,23,33,16.0,
20180419_233546,2018,4,19,12,19,23,35,46.0,
20180419_234518,2018,4,19,12,19,23,45,18.0,
20180419_235936,2018,4,19,12,19,23,59,36.0,
20180420_000337,2018,4,19,12,20,00,3,37.0,
20180420_010326,2018,4,19,12,20,01,3,26.0,
20180420_011639,2018,4,19,12,20,01,16,39.0,
20180420_013200,2018,4,19,12,20,01,32,0.0,
20180420_013748,2018,4,19,12,20,01,37,48.0,
20180420_013757,2018,4,19,12,20,01,37,57.0,
20180420_013845,2018,4,19,12,20,01,38,45.0,
20180420_014248,2018,4,19,12,20,01,42,48.0,
20180420_015522,2018,4,19,12,20,01,55,22.0,
20180420_015644,2018,4,19,12,20,01,56,44.0,
20180420_021550,2018,4,19,12,20,02,15,50.0,
20180420_024152,2018,4,19,12,20,02,41,52.0,
20180420_024342,2018,4,19,12,20,02,43,42.0,
20180420_024552,2018,4,19,12,20,02,45,52.0,
20180420_030945,2018,4,19,12,20,03,9,45.0,
20180420_033508,2018,4,19,12,20,03,35,8.0,
20180420_033823,2018,4,19,12,20,03,38,23.0,
20180420_034439,2018,4,19,12,20,03,44,39.0,
20180420_035620,2018,4,19,12,20,03,56,20.0,
20180420_040156,2018,4,19,12,20,04,1,56.0,
20180420_040844,2018,4,19,12,20,04,8,44.0,
20180420_041600,2018,4,19,12,20,04,16,0.0,
