Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180420_212506,3.5,0.709,6.065, Osaka04-85_,9,2018,4,20,12,20,21,25,6.24,267.1,59.1,206.723343,30.759102,210.958939,33.087433,79.59063,45.40675,2649188596,1439653936,1124736144,3047761414,1161530397,3,0.00293,0.00133, spo,0,-1,-1,-1,208.216415,31.609413,49,0.49,153.2606,-29.2001,12,-1,1,119.88,85,-1
R05B25, spo,20180420_213148,5.2,0.125,3.584, Osaka04-85_,9,2018,4,20,12,20,21,31,48.16,262.8,52.3,216.801758,31.027952,216.743591,30.54084,123.767746,5.028554,1203807690,204029244,1374553082,1854960835,1447214271,3,0.00383,0.00221, spo,0,-1,-1,-1,216.77562,30.809641,57,0.56,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180420_221205,3.7,0.275,16.571, Osaka04-85_,9,2018,4,20,13,20,22,12,5.67,243.9,60.7,218.470917,42.441025,217.123978,47.102013,136.028305,-8.18444,2645094956,1439653936,1125903161,3035461937,1167947130,3,0.00234,0.00182, spo,0,-1,-1,-1,217.872986,44.605305,57,0.49,230.77321,-25.14303,33.96,-1,1,119.88,34,-1
R05B25, spo,20180420_222430,4.5,0.209,5.137, Osaka04-85_,9,2018,4,20,13,20,22,24,30.79,255.2,58.5,223.949936,36.625675,225.109283,37.286221,94.390419,40.588528,1177129051,204029244,1373932992,1831277631,1461736989,3,0.00329,0.00185, spo,0,-1,-1,-1,224.472488,36.92622,70,0.47,195.81425,9.33603,15.92,-1,1,119.88,26,-1
R05B25, spo,20180420_223229,3.9,0.259,4.444, Osaka04-85_,9,2018,4,20,13,20,22,32,29.72,236.7,66.6,214.764938,44.669468,213.537247,44.10556,76.728195,36.950588,2645932784,1439653936,1124497009,3023019341,1177267510,3,0.00285,0.00149, spo,0,-1,-1,-1,214.12149,44.376911,61,0.48,0,0,-1,-1,1,119.88,31,-1
R05B25, spo,20180420_224614,4.2,0.609,6.656, Osaka04-85_,9,2018,4,20,13,20,22,46,14.14,265.3,60.5,225.849411,32.019142,228.697128,28.782984,338.298218,31.410172,1175763144,204029244,1373745641,1829203093,1460041739,3,0.00296,0.00173, spo,0,-1,-1,-1,227.121094,30.608137,73,0.43,56.93087,1.24422,12,-1,1,119.88,71,-1
R05B25, spo,20180420_230628,4.2,0.309,6.365, Osaka04-85_,9,2018,4,20,14,20,23,6,28.38,257.4,66.6,224.284164,36.538055,222.049316,37.537544,0.244287,44.131382,2622115889,1439653936,1125415484,3075236501,1187963391,3,0.0028,0.00209, spo,0,-1,-1,-1,223.304169,36.984741,77,0.37,0,0,-1,-1,1,119.88,36,-1
R05B25, spo,20180420_232833,4.1,0.25,8.336, Osaka04-85_,9,2018,4,20,14,20,23,28,33.04,248.6,57.3,242.127869,39.962742,244.464722,40.794895,99.104652,43.631187,1186018768,204029244,1372146307,1819773512,1461821443,3,0.00259,0.00163, spo,0,-1,-1,-1,243.33049,40.399437,72,0.27,177.27394,-15.20135,15.32,-1,1,119.88,31,-1
R05B25, spo,20180420_233921,4.5,0.125,11.355, Osaka04-85_,9,2018,4,20,14,20,23,39,21.72,261.3,52,249.481186,31.715891,250.802429,32.785873,311.009399,-37.646816,2633834096,1439653936,1137251326,3063110473,1165925007,3,0.00272,0.00196, spo,0,-1,-1,-1,250.010635,32.149334,69,0.33,0,0,-1,-1,1,119.88,16,-1
R05B25, spo,20180420_234201,3.9,0.442,5.659, Osaka04-85_,9,2018,4,20,14,20,23,42,1.82,268,57.6,242.572052,29.773863,243.479065,32.238247,323.792511,-14.938241,1186242774,204029244,1372066324,1820202822,1459728398,3,0.00298,0.00198, spo,0,-1,-1,-1,242.990891,30.928507,73,0.33,236.68636,-35.04612,13.13,-1,1,119.88,54,-1
R05B25, spo,20180420_234244,4.4,0.642,9.685, Osaka04-85_,9,2018,4,20,14,20,23,42,44.77,253,60.4,241.464661,37.92865,241.141159,37.208969,319.046356,-15.427134,2620188959,1439653936,1128122000,3060628336,1179210560,3,0.00255,0.00873, spo,0,-1,-1,-1,241.572052,38.164318,70,0.3,0,0,-1,-1,1,119.88,7,-1
R05B25, spo,20180420_235819,3.4,0.067,10.537, Osaka04-85_,9,2018,4,20,14,20,23,58,19.79,250.6,68.8,234.562378,39.089233,233.872757,38.844807,90.155052,45.028522,1181132736,204029244,1372876284,1845088775,1416673683,3,0.00258,0.00174, spo,0,-1,-1,-1,234.116821,38.931969,70,0.3,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180421_000715,4.5,0.375,5.952, Osaka04-85_,9,2018,4,20,15,21,0,7,15.54,253.5,65,241.665085,37.984848,238.789581,38.358845,45.244061,50.852161,2620260596,1439653936,1128107291,3060703257,1188081393,3,0.00266,0.00153, spo,0,-1,-1,-1,240.161865,38.189587,73,0.27,0,0,-1,-1,1,119.88,41,-1
R05B25, spo,20180421_001246,4,0.292,4.983, Osaka04-85_,9,2018,4,20,15,21,0,12,46.79,247.1,57.4,253.033234,40.740288,254.009415,39.424622,3.602434,22.189966,1190172125,204029244,1362737990,1825400036,1467340069,3,0.00247,0.0022, spo,0,-1,-1,-1,253.479156,40.146618,76,0.27,0,0,-1,-1,1,119.88,34,-1
R05B25, J5_hVi,20180421_002143,5,0.209,8.358, Osaka04-85_,9,2018,4,20,15,21,0,21,43.52,262.5,57.6,253.536469,32.624981,255.431854,33.603653,122.933052,45.473919,2626835488,1439653936,1137642317,3109347395,1166373647,3,0.0029,0.00194, J5_hVi,0,2.1,15.3,-30,254.210129,32.978615,89,0.27,0,0,-1,-1,1,119.88,21,-1
R05B25, spo,20180421_002443,4.9,0.309,2.311, Osaka04-85_,9,2018,4,20,15,21,0,24,43.59,270.4,60.3,249.872513,29.480495,250.644043,29.817272,115.693359,50.951294,1184805703,204029244,1363071896,1828208059,1420863480,3,0.00224,0.00119, spo,0,-1,-1,-1,250.231369,29.637974,86,0.22,0,0,-1,-1,1,119.88,38,-1
R05B25, spo,20180421_002457,4.2,0.225,9.536, Osaka04-85_,9,2018,4,20,15,21,0,24,57.19,239.5,61.4,250.466263,44.469738,253.284027,45.450291,106.705475,39.407375,2631972778,1439653936,1137346084,3062081513,1179919165,3,0.00224,0.00137, spo,0,-1,-1,-1,251.772156,44.936966,87,0.26,139.74149,-46.63269,20.39,-1,1,119.88,28,-1
R05B25, spo,20180421_002520,4,0.225,12.244, Osaka04-85_,9,2018,4,20,15,21,0,25,20.21,251.5,66.3,244.621719,38.849068,241.492386,37.790325,97.884476,46.072514,1184951176,204029244,1371872913,1816260021,1417653922,3,0.0023,0.00097, spo,0,-1,-1,-1,243.138062,38.360996,88,0.26,279.72327,44.05533,50.67,-1,1,119.88,28,-1
R05B25, spo,20180421_003907,4.3,0.609,6.749, Osaka04-85_,9,2018,4,20,15,21,0,39,7.09,239.7,65.7,248.210159,43.656986,250.289734,40.225319,356.027222,17.779493,2633345765,1439653936,1127690481,3069973165,1188673460,3,0.00218,0.0028, spo,0,-1,-1,-1,249.157944,42.143387,88,0.26,150.62895,74.6283,15.31,-1,1,119.88,70,-1
R05B25, spo,20180421_004019,3.3,0.45,6.908, Osaka04-85_,9,2018,4,20,15,21,0,40,19.08,230.2,62.8,250.992096,48.366196,249.996063,45.541222,330.514709,-9.18206,1183079790,204029244,1362935184,1827369517,1423001115,3,0.00256,0.00173, spo,0,-1,-1,-1,250.471558,46.928173,91,0.23,333.13806,79.15331,19.59,-1,1,119.88,53,-1
R05B25, spo,20180421_005301,1.5,0.125,12.018, Osaka04-85_,9,2018,4,20,15,21,0,53,1.99,257.2,51.8,269.005798,34.098598,267.565369,35.217815,29.33741,36.720249,2672639655,1439653936,1138119377,3092859477,1161527780,3,0.00257,0.00405, spo,0,-1,-1,-1,268.443024,34.541492,105,0.23,0,0,-1,-1,1,119.88,16,-1
R05B25, spo,20180421_010247,4.8,0.359,5.075, Osaka04-85_,9,2018,4,20,16,21,1,2,47.49,254.8,62.9,258.253418,37.297909,257.516876,35.73912,335.149902,-16.574205,1190040468,204029244,1362169051,1667512278,1422477586,3,0.00269,0.00187, spo,0,-1,-1,-1,257.840912,36.433186,99,0.2,297.82477,65.28114,16.13,-1,1,119.88,39,-1
R05B25, spo,20180421_010348,3.8,0.2,23.249, Osaka04-85_,9,2018,4,20,16,21,1,3,48.16,244.5,58.6,264.326447,42.133266,262.050018,46.909042,6.608362,13.232656,2672844356,1439653936,1138716171,3119198554,1180074700,3,0.00246,0.00238, spo,0,-1,-1,-1,263.382538,44.214645,101,0.17,0,0,-1,-1,1,119.88,25,-1
R05B25, spo,20180421_010922,4.4,0.342,6.755, Osaka04-85_,9,2018,4,20,16,21,1,9,22.42,261.2,55.1,268.535248,32.639793,270.808472,31.217831,35.33979,43.086285,1160355625,204029244,1361209747,1647348266,1461727434,3,0.00236,0.00155, spo,0,-1,-1,-1,269.636963,31.961189,100,0.2,119.17834,-0.21641,13.78,-1,1,119.88,41,-1
R05B25, spo,20180421_011129,4.8,0.075,12.598, Osaka04-85_,9,2018,4,20,16,21,1,11,29.68,251.2,67.6,254.479141,38.90955,253.083282,38.737202,87.967308,50.305008,2627316468,1439653936,1136717753,3108283306,1185284065,3,0.00268,0.00207, spo,0,-1,-1,-1,253.867477,38.836174,115,0.19,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180421_011728,3.8,0.234,7.509, Osaka04-85_,9,2018,4,20,16,21,1,17,28.78,265.3,60.1,264.167603,31.858503,265.951843,31.877487,86.419006,58.121658,1160815628,204029244,1361692617,1669823417,1419681394,3,0.00238,0.00105, spo,0,-1,-1,-1,265.122528,31.871763,112,0.22,116.73037,-29.91174,21.26,-1,1,119.88,27,-1
R05B25, spo,20180421_012222,5,0.175,3.94, Osaka04-85_,9,2018,4,20,16,21,1,22,22.34,262.5,53.8,272.98819,31.51462,273.30188,30.835102,14.700291,18.317976,2674122815,1439653936,1139519400,3088828623,1171649736,3,0.00198,0.00155, spo,0,-1,-1,-1,273.142517,31.181654,100,0.19,51.17558,-34.23389,12,-1,1,119.88,20,-1
R05B25, spo,20180421_013501,3.2,0.175,3.422, Osaka04-85_,9,2018,4,20,16,21,1,35,1.64,261.6,50,280.62912,30.897875,280.571381,31.531597,12.91366,3.810854,1164848361,204029244,1360009826,1660584913,1475308804,3,0.00258,0.00157, spo,0,-1,-1,-1,280.603546,31.179466,118,0.23,282.33102,18.59156,35.13,-1,1,119.88,22,-1
R05B25, spo,20180421_013724,3,0.526,14.201, Osaka04-85_,9,2018,4,20,16,21,1,37,24.46,267.8,56.8,272.355988,29.626535,280.113098,32.727055,318.241211,-50.752182,2675852184,1439653936,1139457121,3088144649,1172818259,3,0.00248,0.00178, spo,0,-1,-1,-1,276.03125,31.178988,112,0.19,212.65234,-13.27938,27.41,-1,1,119.88,63,-1
R05B25, spo,20180421_015721,4.9,0.175,1.853, Osaka04-85_,9,2018,4,20,16,21,1,57,21.45,239.7,60,275.63266,44.461971,276.094421,44.442169,90.960548,45.442692,1165155672,204029244,1360586399,1648757917,1425168199,3,0.00231,0.00252, spo,0,-1,-1,-1,275.82486,44.453957,137,0.22,265.34705,45.04483,24.88,-1,1,119.88,17,-1
R05B25, spo,20180421_020002,5.4,0.067,14.068, Osaka04-85_,9,2018,4,20,17,21,2,0,2.34,259.1,63.2,271.943085,35.366901,273.08786,35.811821,311.907501,-47.197613,2675826821,1439653936,1139417537,3093855438,1188752158,3,0.00218,0.00287, spo,0,-1,-1,-1,272.453339,35.567162,121,0.18,0,0,-1,-1,1,119.88,9,-1
R05B25, spo,20180421_021600,4,0.133,6.058, Osaka04-85_,9,2018,4,20,17,21,2,16,0.46,270.6,52.9,285.566833,26.660744,284.899353,27.087378,47.478817,46.474251,1162594789,204029244,1359562088,1630278958,1460653330,3,0.00243,0.00099, spo,0,-1,-1,-1,285.197662,26.897493,151,0.22,351.47064,-23.89502,14.22,-1,1,119.88,17,-1
R05B25, __flash,20180421_022948,4.2,0.058,20.98, Osaka04-85_,9,2018,4,20,17,21,2,29,48.86,250.5,64.2,278.509857,39.23093,278.815643,40.711433,2.856105,-6.880064,2667817644,1439653936,1139035334,3103134421,1183828991,3,0.00245,0.00125, __flash,0,-1,-1,-1,278.608429,39.715218,166,0.24,0,0,-1,-1,1,119.88,8,-1
R05B25, spo,20180421_023633,4.2,0.275,5.205, Osaka04-85_,9,2018,4,20,17,21,2,36,33.01,235,70.2,271.035095,44.093014,272.778595,43.229225,47.141609,36.64238,1159148594,204029244,1360935533,1645923314,1442304576,3,0.00287,0.00188, spo,0,-1,-1,-1,271.859497,43.690975,201,0.23,73.81872,-34.18432,13.75,-1,1,119.88,34,-1
R05B25, J5_Lyr,20180421_023923,3,0.409,4.994, Osaka04-85_,9,2018,4,20,17,21,2,39,23.47,241.8,66.4,277.584991,42.618824,279.680511,44.038994,332.254669,-32.148148,2669443830,1439653936,1138946897,3100017711,1185372439,3,0.0025,0.00243, J5_Lyr,0,2.5,51.8,7.9,278.468933,43.230671,174,0.21,264.82526,31.69571,31.9,-1,1,119.88,48,-1
R05B25, J5_Lyr,20180421_024257,5.4,0.092,5.355, Osaka04-85_,9,2018,4,20,17,21,2,42,57.79,273.3,61.2,282.951111,28.418789,283.13385,28.193335,31.737,30.757727,1163708027,204029244,1359851338,1656866043,1421932584,3,0.00263,0.00376, J5_Lyr,0,4.6,58.2,21.2,283.076233,28.264561,191,0.22,0,0,-1,-1,1,119.88,9,-1
