Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_222004,1.4,0.2,8.575, Osaka04-NE_Fu,9,2018,4,21,13,21,22,20,4.53,260.1,67.9,212.025101,35.60574,214.001587,36.055767,58.640015,51.30695,3223558853,904837830,2001852161,3422881288,1917005895,3,0.01602,0.01566, spo,0,-1,-1,-1,213.09404,35.853779,41,0.9,0,0,-1,-1,1,59.94,13,-1
R05B25, J5_Lyr,20180421_233310,0.9,0.133,16.769, Osaka04-NE_Fu,9,2018,4,21,14,21,23,33,10.87,230.2,72.4,222.232269,44.67107,219.084076,44.555687,44.84988,45.299023,3686403951,2353292346,3419599374,3594731848,3483356244,3,0.01352,0.00984, J5_Lyr,0,0.4,50.2,4.6,220.666443,44.62455,39,-1,309.66602,6.31078,29.36,-1,1,59.94,9,-1
R05B25, J5_Lyr,20180421_233831,0.7,0.217,3.512, Osaka04-NE_Fu,9,2018,4,21,14,21,23,38,31.61,242.7,44.2,263.340729,41.861435,262.585693,42.490227,23.82107,29.514084,2967272309,3226788988,216579107,3157219432,200012448,3,0.01234,0.0441, J5_Lyr,0,0.2,37.2,-22.4,263.08902,42.072998,43,-1,0,0,-1,-1,1,59.94,14,-1
R05B25, spo,20180422_004723,1.1,0.367,8.383, Osaka04-NE_Fu,9,2018,4,21,15,22,0,47,23.82,245.9,45.7,278.174316,39.945843,281.560852,38.466362,58.148598,42.438114,1083343404,1586581720,2569887446,1338784456,2653896300,3,0.01375,0.01168, spo,0,-1,-1,-1,279.975739,39.178833,59,0.27,0,0,-1,-1,1,59.94,21,-1
R05B25, spo,20180422_005449,1.7,0.083,10.582, Osaka04-NE_Fu,9,2018,4,21,15,22,0,54,49.78,243.5,35.4,293.525238,38.95797,293.442078,39.679718,26.71595,3.937883,1450853488,2203440392,2483621945,1506257478,2484305085,3,0.01524,0.05788, spo,0,-1,-1,-1,293.480438,39.348495,63,0.53,0,0,-1,-1,1,59.94,6,-1
R05B25, spo,20180422_020326,1.1,0.1,8.186, Osaka04-NE_Fu,9,2018,4,21,17,22,2,3,26.64,265.4,60.4,276.38681,31.858793,276.949371,31.139011,25.866001,28.217695,1841521430,1990645684,161198836,1653104031,207626898,3,0.0136,0.01208, spo,0,-1,-1,-1,276.654724,31.517673,81,0.44,121.23917,21.08149,14.83,-1,1,59.94,7,-1
R05B25, spo,20180422_020837,0.1,0.501,3.587, Osaka04-NE_Fu,9,2018,4,21,17,22,2,8,37.73,221.2,56.2,281.81662,54.816757,284.550873,55.477272,130.432541,31.752146,1036361109,3229724256,3316748167,850404695,3286460759,3,0.01615,0.00854, spo,0,-1,-1,-1,283.124725,55.143127,89,0.59,266.41446,49.89332,31.41,-1,1,59.94,31,-1
R05B25, J5_Lyr,20180422_030144,1.2,0.184,7.223, Osaka04-NE_Fu,9,2018,4,21,18,22,3,1,44.7,220.5,69.9,275.258362,48.569107,275.944855,49.821152,350.426178,-12.73108,1973655438,1470297260,3878931324,2062471557,3822983008,3,0.01761,0.0089, J5_Lyr,0,2.2,53.9,12.3,275.617493,49.232517,100,0.67,265.93097,24.32125,29,-1,1,59.94,11,-1
R05B25, spo,20180422_030201,0.2,1.001,2.346, Osaka04-NE_Fu,9,2018,4,21,18,22,3,2,1.48,206.6,52.8,293.732544,63.864845,296.342682,61.955463,54.042534,13.90801,693896443,665443728,2081140084,652414093,2055192489,3,0.01493,0.008, spo,0,-1,-1,-1,294.996124,62.977554,94,0.68,265.54025,81.20058,15.61,-1,1,59.94,58,-1
R05B25, spo,20180422_032532,0.3,0.284,11.086, Osaka04-NE_Fu,9,2018,4,21,18,22,3,25,32.35,256,51.3,308.957886,34.655251,311.502777,36.982349,12.792791,-32.533386,3604597134,1493854492,419570982,3636711127,524796668,3,0.01647,0.00696, spo,0,-1,-1,-1,310.122589,35.743889,106,0.88,279.61453,-6.39142,30.29,-1,1,59.94,18,-1
R05B25, spo,20180422_032759,0.4,0.601,14.957, Osaka04-NE_Fu,9,2018,4,21,18,22,3,27,59.59,251,66.1,291.592773,38.954731,302.697388,37.357384,100.701912,50.535191,3849118764,1078512880,3274803609,3940884287,3324334956,3,0.0151,0.00788, spo,0,-1,-1,-1,297.08844,38.303902,91,0.58,219.07014,21.73341,28.46,-1,1,59.94,37,-1
R05B25, spo,20180422_035902,0.6,0.167,5.797, Osaka04-NE_Fu,9,2018,4,21,18,22,3,59,2.22,213.2,62.6,296.20932,55.284126,294.728729,55.647961,87.717201,31.338388,21848886,3964075772,1461164535,249763936,1375810856,3,0.01569,0.05274, spo,0,-1,-1,-1,295.776001,55.393158,99,0.94,0,0,-1,-1,1,59.94,11,-1
R05B25, J5_Lyr,20180422_042340,2.2,0.284,12.132, Osaka04-NE_Fu,9,2018,4,21,19,22,4,23,40.1,241.1,59.6,313.975922,43.741013,318.685272,43.696316,135.242691,46.251991,1709443835,6651312,2480719982,1810366265,2521544902,3,0.0183,0.01156, J5_Lyr,0,1.1,45.2,-5.9,316.235809,43.74371,79,0.95,204.02545,-18.39536,24.86,-1,1,59.94,18,-1
