Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180419_210705,2.1,0.184,7.926, CB4_35, 9.0,2018,04,19,12,07,5.690,31.3,36.3,141.334763,-12.208683,139.738358,-12.384396,112.661446,76.146820,2587729280,1439653936,1118886727,3432701675,1119056786,3,0.00873,0.00239, spo,0.0,-1.0,-1.0,-1.0,140.674973,-12.282454,82,0.27,286.53412,11.73283,39.300,-1.000,1.000,59.940,12,-1
R05B25, spo,20180419_211410,3.6,0.250,5.958, CB4_35, 9.0,2018,04,19,12,14,10.510,43.3,41.0,137.239792,-3.515894,136.473129,-4.645660,49.614426,33.994114,1080323204,204029244,1347245072,372731341,1374246138,3,0.00787,0.01873, spo,0.0,-1.0,-1.0,-1.0,137.008224,-3.857529,67,0.30,305.15326,21.04053,35.960,-1.000,1.000,59.940,19,-1
R05B25, spo,20180419_212458,2.9,0.217,10.509, CB4_35, 9.0,2018,04,19,12,24,58.830,50.6,37.5,133.340637,-2.969931,131.071075,-3.833794,51.052837,68.863159,2590834605,1439653936,1118059118,3441279148,1128871984,3,0.00780,0.00351, spo,0.0,-1.0,-1.0,-1.0,132.605484,-3.250494,65,0.28,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, J5_Lyr,20180419_213713,-0.7,0.217,9.968, CB4_35, 9.0,2018,04,19,12,37,13.950,74.8,39.5,124.696426,12.067330,123.577095,10.138238,27.878189,29.044481,1077643126,204029244,1348496605,295578503,1369552633,3,0.00668,0.00644, J5_Lyr,0.0,3.6,31.4,-34.6,124.336380,11.450075,48,0.23,290.61777,13.96458,59.420,-1.000,1.000,59.940,10,-1
R05B25, spo,20180419_215016,2.7,0.217,5.375, CB4_35, 9.0,2018,04,19,12,50,16.690,75.3,37.4,126.017593,11.098940,126.545517,10.044400,41.441010,-25.724546,2588030885,1439653936,1118379610,3418308287,1128847358,2,0.00830,0.00213, spo,0.0,-1.0,-1.0,-1.0,126.254807,10.626115,63,0.37,0.00000,0.00000,-1.000,-1.000,1.000,59.940,13,-1
R05B25, spo,20180419_220515,1.8,0.100,3.002, CB4_35, 9.0,2018,04,19,13,05,15.770,38.5,26.1,145.251266,-18.092590,145.217758,-18.109913,84.972862,56.616390,1085515912,204029244,1346485645,364357318,1351498559,3,0.00900,0.01865, spo,0.0,-1.0,-1.0,-1.0,145.316727,-18.058723,64,1.52,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180419_221313,1.5,0.350,5.397, CB4_35, 9.0,2018,04,19,13,13,13.650,35.7,26.0,149.501724,-19.512213,148.475998,-21.196262,70.225006,27.702974,2597140943,1439653936,1129103168,3456366365,1113032014,3,0.00989,0.00255, spo,0.0,-1.0,-1.0,-1.0,149.059540,-20.243443,74,2.67,0.00000,0.00000,-1.000,-1.000,1.000,59.940,22,-1
R05B25, J5_Lyr,20180419_222450,8.8,0.117,8.453, CB4_35, 9.0,2018,04,19,13,24,50.750,62.3,26.1,133.292725,-4.636735,132.764694,-5.046170,49.191341,51.735977,1074620956,204029244,1347637526,393896424,1353138928,3,0.00844,0.00114, J5_Lyr,0.0,2.8,44.4,-7.4,132.965729,-4.888794,54,2.53,0.00000,0.00000,-1.000,-1.000,1.000,59.940,5,-1
R05B25, spo,20180419_222832,5.7,0.417,5.376, CB4_35, 9.0,2018,04,19,13,28,32.960,66.8,36.4,139.146423,5.276973,138.878021,2.917171,48.547695,6.454928,2584650116,1439653936,1119683960,3425955522,1119810214,3,0.00821,0.00101, spo,0.0,-1.0,-1.0,-1.0,139.061325,4.530357,55,2.70,0.00000,0.00000,-1.000,-1.000,1.000,59.940,10,-1
R05B25, spo,20180419_223035,6.0,0.350,3.199, CB4_35, 9.0,2018,04,19,13,30,35.550,62.0,22.8,132.548965,-7.055510,131.533157,-6.560027,208.474045,63.026863,1074377120,204029244,1347711728,387317886,1399196892,3,0.00665,0.00407, spo,0.0,-1.0,-1.0,-1.0,132.140945,-6.856868,54,0.44,0.00000,0.00000,-1.000,-1.000,1.000,59.940,9,-1
R05B25, spo,20180419_223607,4.6,0.184,5.711, CB4_35, 9.0,2018,04,19,13,36,7.790,54.2,33.3,146.178543,-4.270648,145.353973,-5.045264,60.690853,46.493462,2597968391,1439653936,1119334798,3487736212,1116421554,3,0.00910,0.00123, spo,0.0,-1.0,-1.0,-1.0,145.970917,-4.465943,59,0.47,300.87692,25.33601,28.070,-1.000,1.000,59.940,8,-1
R05B25, spo,20180419_223707,2.4,0.317,4.945, CB4_35, 9.0,2018,04,19,13,37,7.700,46.2,27.5,148.165833,-13.041747,147.169754,-13.985713,71.151001,44.129089,1084534538,204029244,1371390339,337780369,1358826229,3,0.00945,0.01483, spo,0.0,-1.0,-1.0,-1.0,147.626862,-13.553938,52,4.71,287.66354,39.50542,23.200,-1.000,1.000,59.940,20,-1
R05B25, spo,20180419_224741,1.8,0.083,8.609, CB4_35, 9.0,2018,04,19,13,47,41.330,36.2,38.0,163.815063,-8.814917,163.486801,-9.129915,82.771088,45.110943,2596190404,1439653936,1129510507,4082199306,1125090789,3,0.00647,0.00044, spo,0.0,-1.0,-1.0,-1.0,163.656525,-8.967156,21,0.26,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180419_225020,1.2,0.450,13.224, CB4_35, 9.0,2018,04,19,13,50,20.590,67.3,30.6,139.987595,1.638304,135.103668,3.804184,233.651550,65.888206,1079268412,204029244,1347009000,381405477,1355711915,3,0.00805,0.00390, spo,0.0,-1.0,-1.0,-1.0,137.764587,2.628338,49,2.32,0.00000,0.00000,-1.000,-1.000,1.000,59.940,32,-1
R05B25, spo,20180419_225435,-2.3,0.450,15.812, CB4_35, 9.0,2018,04,19,13,54,35.440,59.7,41.6,153.268127,4.801664,148.353394,-1.171966,59.315323,39.373505,2598583979,1439653936,1128461878,4048965646,1131935867,3,0.00572,0.00131, spo,0.0,-1.0,-1.0,-1.0,151.124100,2.202666,43,4.68,191.47742,39.59990,54.840,-1.000,1.000,59.940,26,-1
