Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta,1,2,3,4,5,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, Iw_LVI,20180420_214043,3.6,0.217,6.426, Osaka03_12,9,2018,4,20,12,20,21,40,43,293.5,50.7,210.785538,13.441941,210.582733,14.883251,302.59613,7.530527,2642443445,1439653936,1124847085,2500964680,1151236007,3,0.009,0.01123, Iw_LVI,0,1.9,31.4,8.3,210.697571,14.069346,27,0.22,214.01743,-8.62993,37.95,-1,1,59.94,12,0
R05B25, Iw_PUM,20180420_221327,3.2,0.3,6.597, Osaka03_12,9,2018,4,20,13,20,22,13,27,263.1,44.5,235.632126,27.940331,236.719376,26.248205,340.781036,26.2306,1179699807,204029244,1373165989,1329651867,1458704157,3,0.01128,0.00744, Iw_PUM,0,4.2,20.5,36.5,236.24794,26.989223,49,0.33,105.46318,57.17265,14.67,-1,1,59.94,17,0
R05B25, J5_Lyr,20180420_221720,4.1,0.25,8.136, Osaka03_12,9,2018,4,20,13,20,22,17,20,250.6,45.7,238.521423,36.674816,236.005234,36.367382,71.592033,52.602081,2619460572,1439653936,1126460167,2502199393,1156299566,3,0.01129,0.00361, J5_Lyr,0,2.3,43.8,-8.8,237.053329,36.502163,48,0.21,293.88907,28.50856,26.47,-1,1,59.94,9,0
R05B25, spo,20180420_222847,4,0.25,7.578, Osaka03_12,9,2018,4,20,13,20,22,28,47,275.9,46.9,232.892883,20.946442,231.243423,19.95685,113.443977,52.096008,1180732092,204029244,1373428531,1331308830,1444474467,3,0.00953,0.01181, spo,0,-1,-1,-1,231.890244,20.348278,50,0.2,282.78424,34.77721,24.1,-1,1,59.94,11,0
R05B25, spo,20180420_223110,2.5,0.3,6.962, Osaka03_12,9,2018,4,20,13,20,22,31,10,276.8,54.4,226.022186,23.929592,228.227402,24.591068,85.806808,59.995014,2625234057,1439653936,1125228519,2500632845,1165582780,3,0.01086,0.00493, spo,0,-1,-1,-1,227.317429,24.3228,52,0.27,0,0,-1,-1,1,59.94,17,0
R05B25, J5_hVi,20180420_223915,0.8,0.951,8.513, Osaka03_12,9,2018,4,20,13,20,22,39,15,271.2,44.5,239.449402,22.689642,246.379791,27.889099,305.613159,-44.026432,1179048009,204029244,1372762670,1330096259,1459414108,3,0.00859,0.00378, J5_hVi,0,1.2,23.2,6.5,242.594299,25.144602,46,0.25,203.65764,-15.48809,23.08,-1,1,59.94,58,0
R05B25, J5_Lyr,20180420_224746,4.2,0.15,5.317, Osaka03_12,9,2018,4,20,13,20,22,47,46,255.5,45.5,245.26384,33.369305,244.178955,33.026543,99.204643,51.555641,2630256328,1439653936,1128155844,2513661011,1154516670,3,0.00878,0.00403, J5_Lyr,0,4.8,33.3,-30.5,244.768158,33.21405,47,0.23,0,0,-1,-1,1,59.94,5,0
R05B25, Iw_LVI,20180420_233034,3.6,0.234,12.289, Osaka03_12,9,2018,4,20,14,20,23,30,34,261,54.8,244.164597,32.588882,246.158798,34.937668,313.735352,-28.635794,1185003006,204029244,1372281623,1336977754,1473275887,3,0.00921,0.00647, Iw_LVI,0,5,30.6,5.2,245.155243,33.775776,57,0.16,184.56114,-52.53713,24.34,-1,1,59.94,14,0
R05B25, J5_hVi,20180420_233928,1.6,0.517,8.245, Osaka03_12,9,2018,4,20,14,20,23,39,28,276,39.1,257.680878,16.897873,261.742096,18.517429,313.695068,-61.478058,2626675730,1439653936,1136686902,2513125205,1133938407,3,0.01092,0.00403, J5_hVi,0,2,22.2,1.9,259.740906,17.733469,63,0.18,212.94469,-7.7115,26.08,-1,1,59.94,31,0
R05B25, Iw_MLV,20180420_235158,3.9,0.083,10.831, Osaka03_12,9,2018,4,20,14,20,23,51,58,275.2,58.2,242.934662,26.300873,243.283371,27.107944,323.268616,-18.763517,1186645785,204029244,1372432387,1330574036,1467078087,3,0.0117,0.00644, Iw_MLV,0,1,21,-24.7,243.075134,26.62747,67,0.25,0,0,-1,-1,1,59.94,6,0
R05B25, spo,20180421_002026,3.8,0.267,3.8, Osaka03_12,9,2018,4,20,15,21,0,20,26,283.1,32.7,270.169037,8.57219,270.447845,9.556372,357.784637,-15.429245,2675432215,1439653936,1137852175,2514545937,1126539541,3,0.01117,0.01011, spo,0,-1,-1,-1,270.302673,9.044631,95,0.24,266.04071,-12.11444,33.26,-1,1,59.94,16,0
R05B25, Iw_LVI,20180421_004539,3.9,0.184,11.111, Osaka03_12,9,2018,4,20,15,21,0,45,39,282.3,51.9,260.378265,19.781937,262.301605,20.74439,318.341827,-55.861603,1188990944,204029244,1362305013,1336915063,1476037600,3,0.01021,0.00645, Iw_LVI,0,0.3,26.8,-7.6,261.411713,20.303175,101,0.32,213.99782,-10.74215,28.65,-1,1,59.94,10,0
R05B25, Iw_SGV,20180421_010520,3.4,0.184,9.748, Osaka03_12,9,2018,4,20,16,21,1,5,20,292.3,49,263.9646,12.89315,265.632202,13.597629,326.964935,-63.242226,2672952380,1439653936,1138305774,2515992734,1162737695,3,0.01047,0.00368, Iw_SGV,0,0.1,20.5,14.7,264.738007,13.221728,115,0.26,115.1651,-25.28374,41.3,-1,1,59.94,12,0
R05B25, spo,20180421_010708,0.7,0.384,14.88, Osaka03_12,9,2018,4,20,16,21,1,7,8,282.6,54.3,263.4953,20.839201,259.820831,25.462706,7.708786,32.823936,1160811651,204029244,1362071531,1335216756,1466437793,3,0.01056,0.00266, spo,0,-1,-1,-1,261.898834,22.89765,108,0.31,280.56369,-4.47027,61.59,-1,1,59.94,24,0
R05B25, sm_010,20180421_013931,1.7,0.334,6.848, Osaka03_12,9,2018,4,20,16,21,1,39,31,271.8,36.5,291.874908,18.386124,290.674011,16.418764,11.390148,-28.699665,2683473975,1439653936,1139933542,2508866787,1136220617,3,0.00974,0.00395, sm_010,0,0.4,46,1.4,291.282104,17.421162,110,0.31,329.10452,50.33492,26.95,-1,1,59.94,21,0
R05B25, Iw_XLI,20180421_015458,3.4,0.184,10.737, Osaka03_12,9,2018,4,20,16,21,1,54,58,281.1,43.2,285.950714,15.770875,287.651062,16.856482,353.906555,-53.039196,1169263744,204029244,1359913134,1340145403,1445707002,3,0.01049,0.00694, Iw_XLI,0,1,29.1,-19,286.698822,16.251671,118,0.31,263.31888,-0.6433,63.29,-1,1,59.94,12,0
R05B25, J5_Lyr,20180421_020052,2.4,0.117,8.681, Osaka03_12,9,2018,4,20,17,21,2,0,52,276,41.9,290.621735,18.328712,291.370819,17.622297,38.287148,42.490677,2681029863,1439653936,1139813572,2508843212,1143996822,3,0.01039,0.00384, J5_Lyr,0,0.3,63,31.2,290.949554,18.020615,127,0.36,128.39,0.41298,53.83,-1,1,59.94,8,0
R05B25, Iw_DAL,20180421_022525,3.2,0.1,10.791, Osaka03_12,9,2018,4,20,17,21,2,25,25,269.8,53.3,287.781189,27.092516,286.807526,27.793995,46.879536,43.550453,1170011825,204029244,1359704743,1340307468,1467725268,3,0.00968,0.00431, Iw_DAL,0,4.6,40.5,-39.6,287.311066,27.433176,135,0.28,336.64291,-18.18938,25.08,-1,1,59.94,7,0
