Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(JST),M(JST),D(UT),H(UT),D(JST),H(JST),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180421_200027,3.4,0.083,4.876, Osaka03_12,9,2018,4,21,11,21,20,0,28,274.7,57.9,186.201599,26.476023,186.412567,26.843727,83.350983,24.063307,2635404066,1439653936,1129828359,2504054103,1165263237,3,0.0101,0.00546, spo,0,-1,-1,-1,186.284286,26.620466,25,0.13,0,0,-1,-1,1,59.94,6,0
R05B25, Iw_PUM,20180421_202630,3.1,0.083,7.823, Osaka03_12,9,2018,4,21,11,21,20,26,31,291.3,47.7,196.449051,12.691016,196.430023,12.080387,106.065468,1.702826,1196295557,204029244,1368499630,1326818503,1457365743,3,0.01098,0.00766, Iw_PUM,0,2.1,14.9,-0.9,196.44133,12.443682,23,0.14,0,0,-1,-1,1,59.94,6,0
R05B25, spo,20180421_204753,3.1,0.384,6.994, Osaka03_12,9,2018,4,21,11,21,20,47,54,285.3,38.1,212.360214,10.425843,212.676392,7.821365,303.607452,6.746603,2643161407,1439653936,1124966154,2501029482,1128220551,3,0.01334,0.00996, spo,0,-1,-1,-1,212.635071,8.163849,27,0.21,197.9668,75.76734,20.05,-1,1,59.94,7,0
R05B25, Iw_PUM,20180421_205027,3.1,0.133,4.1, Osaka03_12,9,2018,4,21,11,21,20,50,28,263.3,54,205.539688,31.103474,205.501419,30.561926,113.739601,2.980446,1199819474,204029244,1367660259,1325817097,1471358909,3,0.0076,0.01186, Iw_PUM,0,3.7,14.5,-3.1,205.525284,30.900444,20,0.42,206.59752,41.87025,49.16,-1,1,59.94,8,0
R05B25, Iw_MLV,20180421_213126,3.5,0.284,8.971, Osaka03_12,9,2018,4,21,12,21,21,31,27,279.8,46.8,218.177505,18.591585,217.98439,21.145248,309.466034,3.824583,2645229141,1439653936,1124475702,2501891988,1153788206,3,0.00776,0.01339, Iw_MLV,0,1,24.5,-12.4,218.078186,19.915352,24,0.15,225.21271,-35.40724,25.07,-1,1,59.94,12,0
R05B25, J3_dDr,20180421_213140,3.4,0.083,13.244, Osaka03_12,9,2018,4,21,12,21,21,31,41,280.4,42.9,221.39122,16.15892,220.963333,15.206496,304.50827,-22.47019,1178511822,204029244,1374429835,1331960074,1453300428,3,0.01062,0.00294, J3_dDr,0,0.8,36.3,36.1,221.21434,15.766403,27,0.23,302.41409,66.2875,34.91,-1,1,59.94,6,0
R05B25, spo,20180421_222436,3.8,0.25,8.578, Osaka03_12,9,2018,4,21,13,21,22,24,37,259.1,58.1,225.147141,34.371372,227.413605,35.470016,92.197731,44.889702,2624777447,1439653936,1125177114,2500659912,1172122480,3,0.01067,0.00636, spo,0,-1,-1,-1,225.740433,34.66589,43,0.21,176.05354,-8.54721,18.38,-1,1,59.94,8,0
R05B25, Iw_DLI,20180421_223929,4.2,0.284,4.408, Osaka03_12,9,2018,4,21,13,21,22,39,30,277.8,34.6,246.85228,13.318465,247.77803,14.220633,323.969299,-43.284229,1183861119,204029244,1372024046,1337297394,1372199284,3,0.00984,0.00662, Iw_DLI,0,3.1,24.8,-18.5,247.342102,13.797109,49,0.34,82.43866,-39.91489,21.99,-1,1,59.94,13,0
R05B25, Iw_MLV,20180421_230441,1.7,0.384,12.863, Osaka03_12,9,2018,4,21,14,21,23,4,42,266,56.6,235.699768,30.404428,237.505539,35.081779,316.629517,-15.037577,2620490351,1439653936,1126189755,2501979055,1172095498,3,0.00924,0.00287, Iw_MLV,0,2.5,26.1,-6.5,236.522949,32.600883,57,0.16,220.71964,-24.58445,29.58,-1,1,59.94,24,0
R05B25, Iw_PUM,20180422_005544,3.6,0.067,6.563, Osaka03_12,9,2018,4,21,15,22,0,55,45,278.8,33.4,281.510529,11.966723,281.711548,11.578263,17.549099,26.384388,1163332183,204029244,1360273557,1341613812,1362566614,3,0.01036,0.00356, Iw_PUM,0,0.9,18.3,21.9,281.608185,11.785555,98,0.33,0,0,-1,-1,1,59.94,5,0
R05B25, Iw_SGV,20180422_011310,4,0.284,8.237, Osaka03_12,9,2018,4,21,16,22,1,13,11,279.7,56.8,264.448212,23.470322,266.751373,24.271759,308.832855,-58.718941,2673147130,1439653936,1138384682,2515932402,1166332053,3,0.00954,0.00653, Iw_SGV,0,1.2,15.2,-14.9,265.558136,23.862062,98,0.27,248.01239,16.48711,65.21,-1,1,59.94,13,0
R05B25, spo,20180422_012328,2.8,0.317,9.937, Osaka03_12,9,2018,4,21,16,22,1,23,29,276,45.4,279.046417,20.079042,280.991821,22.612862,355.423065,-32.796471,1164525023,204029244,1360546566,1341264134,1450577245,3,0.01073,0.00461, spo,0,-1,-1,-1,279.920074,21.230543,104,0.32,265.86066,0.40631,61.72,-1,1,59.94,19,0
R05B25, Iw_ABO,20180422_012743,2.2,0.184,8.684, Osaka03_12,9,2018,4,21,16,22,1,27,44,278.9,47.3,277.295807,19.264782,278.962341,18.973656,68.686813,68.291931,2669584636,1439653936,1139584758,2515440959,1151542238,3,0.01028,0.00479, Iw_ABO,0,3.2,21.2,-10.7,278.03418,19.137774,108,0.34,247.17215,21.51524,43.17,-1,1,59.94,12,0
R05B25, spo,20180422_013620,3.9,0.133,11.097, Osaka03_12,9,2018,4,21,16,22,1,36,21,278.7,42.1,284.188263,16.718998,284.914398,18.050642,5.712567,-26.136488,1162325365,204029244,1360016426,1341932136,1455477551,3,0.00924,0.00358, spo,0,-1,-1,-1,284.638397,17.547102,105,0.29,137.74252,-58.38419,36.51,-1,1,59.94,7,0
R05B25, Iw_XLI,20180422_020518,2.6,0.117,12.382, Osaka03_12,9,2018,4,21,17,22,2,5,19,280.6,34.2,297.378448,11.098866,298.750153,11.731825,185.259384,62.480705,2677157101,1439653936,1133121789,2511652666,1140395527,3,0.00979,0.00336, Iw_XLI,0,2.1,41.7,15.9,297.9422,11.360115,117,0.37,0,0,-1,-1,1,59.94,8,0
R05B25, Iw_ABO,20180422_021049,2.6,0.517,8.071, Osaka03_12,9,2018,4,21,17,22,2,10,50,275.9,45.6,290.707886,20.180758,295.076996,19.429092,84.549522,67.731529,1168910973,204029244,1359460841,1340723985,1451179064,3,0.01132,0.00697, Iw_ABO,0,0.3,18.4,-22.3,292.412872,19.900925,124,0.35,173.86705,-2.26224,18.73,-1,1,59.94,22,0
R05B25, Iw_XLI,20180422_023039,3.9,0.15,15.586, Osaka03_12,9,2018,4,21,17,22,2,30,40,256.6,45.4,301.981354,32.507561,304.373413,33.742687,351.619232,-45.461994,2676799192,1439653936,1132547569,2512371645,1152049797,3,0.00926,0.00303, Iw_XLI,0,2.1,37.9,5.4,303.282166,33.189205,124,0.32,255.98027,-5.80778,46.09,-1,1,59.94,9,0
R05B25, spo,20180422_023731,3.2,0.083,16.07, Osaka03_12,9,2018,4,21,17,22,2,37,32,268.8,55.9,289.284485,28.590992,289.855957,29.897249,9.005331,-18.129072,1168398629,204029244,1359564357,1340512788,1421771596,3,0.01088,0.00313, spo,0,-1,-1,-1,289.505859,29.10125,141,0.34,0,0,-1,-1,1,59.94,6,0
R05B25, Iw_ZCY,20180422_024531,4.1,0.167,7.147, Osaka03_12,9,2018,4,21,17,22,2,45,32,274.6,54.1,291.653473,24.850994,290.958038,23.833027,6.915827,-28.778841,2683524628,1439653936,1139913322,2508976260,1167112911,3,0.00947,0.00596, Iw_ZCY,0,2.6,39.2,-3.4,291.316193,24.359692,144,0.3,304.00223,39.4588,50.92,-1,1,59.94,11,0
R05B25, J5_Lyr,20180422_031710,0.3,0.45,10.144, Osaka03_12,9,2018,4,21,18,22,3,17,11,270.9,54.9,299.776154,27.107513,304.485779,25.389425,79.546982,56.158844,1172310119,204029244,1367008141,1339727671,1467975088,3,0.01003,0.00292, J5_Lyr,0,0.3,49.7,3.6,302.096283,26.286676,140,0.29,264.10248,33.74038,37.69,-1,1,59.94,26,0
R05B25, spo,20180422_032021,4.7,0.1,17.125, Osaka03_12,9,2018,4,21,18,22,3,20,22,300.1,47.5,296.473785,7.928988,298.154114,8.518513,185.221649,68.990326,2683101301,1439653936,1133034999,2511667583,1163235032,3,0.00969,0.00596, spo,0,-1,-1,-1,297.318207,8.220668,130,0.3,0,0,-1,-1,1,59.94,5,0
