,v_mag_star,x_astropy,y_astropy,star_flux,source_ID
0,11.698,331.0,216.0,186622.717568189,406-056729
1,11.822000000000001,55.0,241.0,150260.0315591139,406-056659
2,12.264000000000001,314.0,92.0,116222.56523985269,406-056674
3,12.931,267.0,156.0,66136.07114486913,406-056681
4,13.020999999999999,203.0,248.0,54276.27268872188,405-056190
5,13.272,122.0,124.0,44118.54833339539,405-056146
6,13.412,350.0,168.0,35365.440121978514,405-056157
7,13.594000000000001,49.0,223.0,41841.550765469336,405-056162
8,13.655999999999999,140.0,157.0,33445.206854746255,405-056161
9,13.843,124.0,119.0,26523.084055727948,405-056191
10,13.847999999999999,73.0,168.0,26244.330104199045,405-056164
11,13.899000000000001,205.0,201.0,26961.101772703445,405-056186
12,13.925,71.0,102.0,23661.074722222926,405-056174
13,13.956,337.0,216.0,11688.46665230568,405-056147
14,13.985,340.0,145.0,22718.57304602001,405-056192
15,14.012,120.0,191.0,27598.374411295143,404-055004
16,14.077,184.0,26.0,24223.6857435774,404-054997
17,14.237,78.0,17.0,8832.278393166634,404-055013
18,14.287,449.0,11.0,18852.88794229569,404-055025
19,14.337,132.0,180.0,18202.14483316688,404-055026
20,14.337,116.0,106.0,15668.472508409015,404-054981
21,14.374,158.0,22.0,17492.14448624135,404-054984
22,14.39,201.0,163.0,20387.97128101572,404-055012
