,ID,day_tomoe,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
0,571226_095,18,4.412761306,0.113787019,237.7630385,29.08558152,237.4722569,28.81591813,236.9215958,29.2658364,237.212077,29.53771161
1,571311_057,18,0.479204562,0.052972713,234.0136105,26.68449289,233.7389014,26.4051454,233.1837871,26.83969254,233.4578547,27.11977302
2,571314_058,18,15.51277241,2.388782128,235.8305837,28.46999599,235.545816,28.19617864,234.9905555,28.63892407,235.2749416,28.91467028
3,571332_057,18,0.784300662,0.04716298,236.4007527,25.82799637,236.1219609,25.55378361,235.581393,25.99916348,235.8596946,26.2735521
4,571342_058,18,2.466311015,0.03099183,237.2803947,25.09008629,237.0030299,24.8180938,236.4676457,25.26395397,236.7448362,25.53766942
5,571913_111,18,0.24466979,0.09189558,235.2225226,27.87708564,234.9414688,27.60102904,234.3858924,28.04116047,234.6665533,28.31834503
6,572125_014,18,2.139308007,0.000528393,236.4886592,29.03339137,236.2015933,28.76049884,235.6451969,29.20534224,235.9325602,29.48004851
7,572126_014,18,43.96196626,0.789295929,237.1165998,29.62307893,236.8265659,29.35046122,236.2690644,29.79834015,236.5593025,30.07157061
8,572211_063,18,0.496518699,0.147980633,233.367912,27.19836997,233.0947654,26.91743384,232.5334347,27.34809502,232.806046,27.62966043
9,572311_102,18,1.94671429,0.084023869,233.5850896,27.02609431,233.3125879,26.74660645,232.7531584,27.17818799,233.0265554,27.4595245
10,572414_094,18,0.828140383,0.027212772,235.6190505,28.64424436,235.3348336,28.3691586,234.7775001,28.81112803,235.061638,29.0876232
11,572421_095,18,1.645175255,0.017092184,234.7049579,26.13389143,234.4286648,25.85699863,233.881567,26.29696062,234.1568047,26.57413468
12,572514_006,18,1.53830368,0.045949757,235.8381725,28.46772582,235.5536712,28.19364127,234.9986581,28.63672304,235.2825135,28.91183596
13,572514_006,18,1.539875167,0.009231335,235.8381725,28.46772582,235.5536712,28.19364127,234.9986581,28.63672304,235.2825135,28.91183596
14,572524_007,18,2.100890777,0.015793924,236.7418702,27.73459004,236.4571219,27.46266984,235.9088165,27.90849077,236.1927091,28.18303775
15,572524_007,18,0.977288071,0.043532935,236.7418702,27.73459004,236.4571219,27.46266984,235.9088165,27.90849077,236.1927091,28.18303775
16,572534_007,18,0.100003062,0.012969808,237.6314102,26.99787553,237.3475223,26.72654147,236.8052322,27.17638489,237.0891981,27.448427
