Event_Number,MJD,Begining_time_of_the_event_YYYY,MM,DD,hh,mm,ss.ssssss,Duratin[s],Radiant(Right_Ascension),Radiant(Declination),Radiant(Azimuth),Radiant(Zenith),Radiant(Azimuth)_uncorrected,Radiant(Zenith)_uncorrected,Zenith_angle_correction,Initial_velocity(observed)[km/s],Initial_velocity(geocentric)[km/s],RCS[dBsm]at_max_SNR,SNR_max[dB],Beginning_height[km],End height [km],Azimuth of meteor start point,Zenith of meteor start point,Azimuth of meteor end point,Zenith of meteor end point,Semimajor_axis_(AU),Eccentricity,Perihelion_dist_(AU),Lon_of_asc_node_(deg),Inclination_(deg),Argument_of_periapsis_(deg),Period [yr],Heliocentric velocity [km/s],Radiant (ecliptic longitude),Radiant (ecliptic latitude),Solar longitude,RA error,dec error,az error,ze error,velocity error,a error,e error,q error,i error,omega error,P error,heliocentric velocity error,radiant (ecliptic longitude),radiant (ecliptic latitude),Hammer X,Hammer Y,Time from perihelion [days]
1000001,58226.5422,2018,4,18,13,0,46.42656,0.19656,227.299853,-18.721579,130.436655,71.303179,130.001901,69.376814,2.09804,35.25528,33.16899,-34.814861,11.072148,100.350398,98.247332,158.132578,1.964663,283.16973,2.10206,1.646495,0.889412,0.182083,208.1988,1.937756,137.656773,2.112713,34.877839,230.030499,-1.011417,28.1988,0.86141,0.875279,0.388338,0.658615,1.132037,0.254528,0.017867,0.018597,1.412605,3.599612,0.496099,1.132037,0.86141,0.875279,1.176469,-0.018482,-38.985049
1000002,58226.54259,2018,4,18,13,1,19.72008,0.468,204.174257,-21.00457,151.823442,61.191105,150.921623,58.058579,3.353937,25.548616,22.833362,-28.130437,17.800487,101.451498,95.361755,143.78596,2.200198,335.351338,3.768318,2.108645,0.732542,0.563974,208.199177,7.952579,92.105239,3.062001,36.516113,210.081082,-10.184242,28.199177,0.341299,0.336671,0.266079,0.203222,0.144533,0.076727,0.008564,0.005453,0.274285,1.459659,0.167231,0.144533,0.341299,0.336671,1.485698,-0.1915,-46.636609
1000003,58226.54367,2018,4,18,13,2,53.43864,0.30576,267.5335,22.233886,71.827919,76.946567,72.025079,74.838484,2.261798,35.767708,33.62611,-31.191864,16.096995,96.845012,93.986106,92.076233,3.185398,233.992151,3.635024,0.932951,0.419523,0.541556,28.200237,68.261731,303.969723,0.901131,28.430631,266.733592,45.642838,28.200237,1.081405,1.08643,0.924505,0.446167,1.018725,0.057892,0.019483,0.050238,2.223894,16.844102,0.084109,1.018725,1.081405,1.08643,0.417944,0.781864,-70.256021
1000004,58226.54441,2018,4,18,13,3,57.13656,0.35568,226.505531,-12.42883,127.175884,65.578991,126.636986,62.803474,3.069331,27.884991,25.27463,-28.620133,20.622459,89.932182,85.738378,109.53767,2.61938,321.319845,3.193905,1.168159,0.742063,0.301311,28.200958,5.717569,310.026927,1.262562,31.59013,227.580371,4.835993,28.200958,0.238088,0.260438,0.01593,0.259739,0.242603,0.023624,0.006092,0.00592,0.277583,1.066583,0.038309,0.242603,0.238088,0.260438,1.21406,0.088562,-47.83705
1000005,58226.54445,2018,4,18,13,4,0.64968,0.21216,211.369049,-10.515835,139.401254,54.993283,138.640587,52.813732,2.498572,27.774381,25.235212,-25.663902,21.435048,96.656947,93.090939,176.634007,2.162663,267.99418,1.787835,2.303022,0.787569,0.489233,28.200997,1.891826,279.431648,3.495001,36.994517,212.855699,2.069682,28.200997,0.193812,0.247367,0.080699,0.211294,0.136485,0.078006,0.00651,0.004311,0.195178,1.033347,0.177678,0.136485,0.193812,0.247367,1.458832,0.038771,-45.279797
1000006,58226.54466,2018,4,18,13,4,18.3432,0.33696,220.031243,-18.859817,136.979054,66.570696,136.296821,63.3823,3.44853,26.545583,23.8485,-20.734003,25.591775,99.129636,95.156898,145.675719,3.081076,298.424488,1.705611,1.258934,0.707727,0.367953,208.201198,3.183531,121.922133,1.412553,32.437213,223.475916,-3.123702,28.201198,0.086677,0.112756,0.004152,0.101086,0.096228,0.010668,0.00255,0.002246,0.073377,0.406359,0.017955,0.096228,0.086677,0.112756,1.283986,-0.057583,-49.482402
1000007,58226.54776,2018,4,18,13,8,46.20768,0.30264,263.752577,46.873315,50.614038,61.602757,51.150379,59.456496,2.436521,30.006261,27.59822,-25.304725,14.410551,103.966011,99.385836,104.653258,2.733942,191.133363,3.572506,1.630484,0.412322,0.958199,28.20423,49.056451,212.508115,2.081972,34.80254,257.414284,70.037446,28.20423,2.173855,1.624379,1.502319,0.876916,0.755346,0.239523,0.077546,0.012747,1.642025,12.277162,0.463974,0.755346,2.173855,1.624379,0.294698,1.157068,-26.869004
1000008,58226.54864,2018,4,18,13,10,2.73504,0.20904,230.897461,-29.477236,136.766402,80.217609,136.324288,78.113484,2.19109,37.216816,35.250381,33.102697,49.540252,110.465662,110.107424,291.105859,12.211695,292.648336,12.970862,1.418208,0.905549,0.133952,208.205095,25.594995,145.445596,1.688923,33.623696,236.049673,-10.531873,28.205095,1.670415,1.375704,1.353608,0.627089,0.06609,0.109671,0.00635,0.016257,2.846901,5.780525,0.196522,0.06609,1.670415,1.375704,1.061942,-0.190532,-37.831039
1000009,58226.54871,2018,4,18,13,10,8.5944,0.29328,205.73275,-5.241267,143.752963,46.808341,142.701577,44.447776,2.753313,24.298068,21.427523,-26.365761,14.195653,97.817458,92.922102,107.879376,3.331059,48.823498,2.010856,2.311117,0.731403,0.620758,28.205162,3.538522,264.479681,3.513442,37.012502,205.767113,5.057337,28.205162,0.61824,0.783832,0.409121,0.614479,0.264643,0.183436,0.018852,0.010827,0.518077,2.998926,0.419618,0.264643,0.61824,0.783832,1.569237,0.09594,-45.566307
1000010,58226.54874,2018,4,18,13,10,10.91256,0.39312,271.027983,38.225517,56.744112,69.935497,57.197038,67.057937,3.129013,28.717782,26.157928,-26.274562,19.745592,94.666758,90.440763,49.129855,3.207728,245.860007,3.129943,1.031773,0.169969,0.856404,28.205188,51.17825,270.727269,1.048036,29.975041,271.701158,61.65636,28.205188,1.44849,1.170232,0.956656,0.590988,0.677052,0.058327,0.024737,0.042222,1.525337,35.437312,0.089065,0.677052,1.44849,1.170232,0.257068,1.029434,-75.831748
1000011,58226.55398,2018,4,18,13,17,43.93656,0.27768,217.073968,-16.789551,141.214074,61.457684,140.603655,59.664314,2.010947,32.826081,30.668376,-33.48722,9.30489,108.239599,103.938985,91.431162,1.663483,342.743686,3.486962,2.604582,0.871998,0.333391,208.210314,2.673647,115.722723,4.203462,37.58665,220.152756,-2.03282,28.210314,0.646603,0.669275,0.451412,0.457157,0.440984,0.339974,0.014661,0.012691,0.824256,2.861179,0.829947,0.440984,0.646603,0.669275,1.339795,-0.037684,-41.570805
1000012,58226.55429,2018,4,18,13,18,10.65624,0.33696,226.522881,-38.28544,146.460561,83.917612,146.14556,83.020213,0.924259,58.865619,57.59151,64.216356,73.644391,102.940148,102.01518,6.451803,5.992937,352.685943,8.700233,-0.920818,1.23223,0.213842,208.210616,74.900415,115.198125,,52.003308,234.919708,-19.993683,28.210616,0.513348,0.488651,0.147112,0.469163,0.462409,0.063534,0.01558,0.007272,1.816305,2.677321,,0.462409,0.513348,0.488651,1.04356,-0.360535,-29.177161
1000013,58226.55449,2018,4,18,13,18,28.17504,0.27144,224.603978,-21.496851,137.836497,69.258741,137.197844,66.244898,3.231479,28.051143,25.49631,-17.966679,24.915011,94.596222,91.496659,200.391223,2.305172,284.382744,3.919927,1.1488,0.748841,0.288531,208.210815,5.326652,131.631367,1.231307,31.388696,228.364459,-4.37893,28.210815,0.26799,0.310112,0.078472,0.244119,0.265851,0.023992,0.006385,0.005988,0.305414,0.956948,0.038583,0.265851,0.26799,0.310112,1.201822,-0.080134,-47.503538
1000014,58226.55477,2018,4,18,13,18,52.51104,0.43368,264.77052,63.613729,32.116782,55.97242,32.962184,53.578957,2.649565,27.232567,24.679921,-33.297541,12.739232,97.231855,90.389313,43.540122,2.681497,203.234164,3.128438,2.929316,0.657483,1.003342,28.21109,40.312733,183.61319,5.013597,38.080881,230.850765,86.321397,28.21109,2.982938,1.477585,1.558938,0.908326,0.569149,0.766486,0.083566,0.001236,1.335055,5.568469,2.028333,0.569149,2.982938,1.477585,0.098372,1.375121,-2.863281
1000015,58226.55812,2018,4,18,13,23,41.31384,0.30576,216.971143,-10.295667,138.595982,55.162067,137.801409,52.692237,2.81321,26.296699,23.607237,-33.92545,11.183009,93.3122,88.431711,87.39813,2.864508,4.45049,3.202077,1.528596,0.710214,0.442965,28.214358,3.759859,290.227358,1.889902,34.282424,217.993163,4.092752,28.214358,0.340868,0.367354,0.246344,0.250567,0.151896,0.039489,0.005758,0.006132,0.343474,1.550245,0.07326,0.151896,0.340868,0.367354,1.373181,0.076033,-48.864484
1000016,58226.55932,2018,4,18,13,25,25.14744,0.43056,189.020729,0.9183,170.919176,34.267531,168.293807,30.025171,4.451822,16.686896,12.405785,-34.814861,9.642154,101.155917,94.914469,279.423008,0.864249,329.231226,2.628141,1.849497,0.534096,0.861688,28.215533,1.614,233.663248,2.515245,35.707405,187.924801,4.419517,28.215533,1.631177,2.288498,2.329535,1.633636,0.284866,0.172805,0.038824,0.014558,0.949585,6.048177,0.353831,0.284866,1.631177,2.288498,1.850939,0.086982,-39.100718
1000017,58226.56032,2018,4,18,13,26,51.6276,0.22464,237.493894,-2.953869,115.652722,62.525635,115.392498,61.50797,1.247067,41.998201,40.186155,-33.5164,11.595851,104.587014,100.263436,149.944486,2.567495,263.891229,2.909171,2.49801,0.935529,0.16105,28.216512,44.546103,317.483989,3.948128,37.394594,235.918773,16.720358,28.216512,1.120681,1.155331,1.136564,0.533966,0.724539,0.551889,0.013657,0.014205,3.69103,4.396297,1.338651,0.724539,1.120681,1.155331,1.042945,0.301701,-36.230925
1000018,58226.56037,2018,4,18,13,26,56.15472,0.23712,228.065602,-23.01549,137.744439,71.213781,137.298135,69.661741,1.687161,39.150389,37.287566,-32.898826,13.840328,105.624784,102.563296,139.933639,2.159329,315.067376,2.631748,2.200524,0.938839,0.134587,208.216563,12.334895,142.031411,3.264292,36.753274,231.874059,-4.956178,28.216563,0.843391,0.823054,0.517589,0.53878,1.043029,0.48207,0.013161,0.0154,2.335499,3.773954,1.097368,1.043029,0.843391,0.823054,1.142788,-0.090259,-35.632715
1000019,58226.56138,2018,4,18,13,28,23.36184,0.29952,235.250747,34.447538,75.484911,41.153239,75.772978,40.111333,1.600424,29.51057,27.079986,-32.724587,15.075819,95.67595,88.909058,105.428808,1.311417,239.956949,2.564729,2.447252,0.681603,0.779197,28.217549,39.188886,243.427234,3.828405,37.2969,220.162949,52.043831,28.217549,2.494327,2.182403,2.70482,1.479349,0.65131,0.664205,0.067453,0.030332,2.04563,13.588107,1.611709,0.65131,2.494327,2.182403,0.90388,0.917538,-40.841989
1000020,58226.56234,2018,4,18,13,29,45.8952,0.31512,247.882775,-19.013981,121.407582,80.350803,120.995014,76.725974,3.779949,28.62354,26.029554,-33.585259,15.299747,92.712446,90.344938,109.12282,2.487266,310.945318,3.027726,0.718496,0.862077,0.099097,28.218483,5.8255,341.230783,0.609027,22.960223,249.120947,2.834289,28.218483,0.73374,0.673973,0.213128,0.454809,0.924004,0.016284,0.018426,0.012733,1.675629,1.792302,0.020721,0.924004,0.73374,0.673973,0.854021,0.050618,-45.499972
