tomoe_id,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
570021_002,2018-04-18T13:03:57.137,2018,4,18,22,3,57.136560,0.355680,89.932182,85.738378,126.636986,62.803474,27.884991,65,107,232.159518,26.657044,194220.606764,234.859059,25.239321,194374.609065
570022_008,2018-04-18T13:04:00.650,2018,4,18,22,4,0.649680,0.212160,96.656947,93.090939,138.640587,52.813732,27.774381,42,68,232.328519,27.768578,201206.879136,233.843380,26.835330,199742.700833
570024_001,2018-04-18T13:03:57.137,2018,4,18,22,3,57.136560,0.355680,89.932182,85.738378,126.636986,62.803474,27.884991,65,107,232.159518,26.657044,194220.606764,234.859059,25.239321,194374.609065
570024_002,2018-04-18T13:03:57.137,2018,4,18,22,3,57.136560,0.355680,89.932182,85.738378,126.636986,62.803474,27.884991,65,107,232.159518,26.657044,194220.606764,234.859059,25.239321,194374.609065
570024_007,2018-04-18T13:04:00.650,2018,4,18,22,4,0.649680,0.212160,96.656947,93.090939,138.640587,52.813732,27.774381,42,68,232.328519,27.768578,201206.879136,233.843380,26.835330,199742.700833
570024_009,2018-04-18T13:04:00.650,2018,4,18,22,4,0.649680,0.212160,96.656947,93.090939,138.640587,52.813732,27.774381,42,68,232.328519,27.768578,201206.879136,233.843380,26.835330,199742.700833
570026_007,2018-04-18T13:04:00.650,2018,4,18,22,4,0.649680,0.212160,96.656947,93.090939,138.640587,52.813732,27.774381,42,68,232.328519,27.768578,201206.879136,233.843380,26.835330,199742.700833
570534_090,2018-04-18T13:10:08.594,2018,4,18,22,10,8.594400,0.293280,97.817458,92.922102,142.701577,44.447776,24.298068,41,87,231.745180,28.808736,197237.635538,233.368059,27.578992,194728.183884
571226_095,2018-04-18T13:17:43.937,2018,4,18,22,17,43.936560,0.277680,108.239599,103.938985,140.603655,59.664314,32.826081,34,84,232.647936,31.238632,203321.401671,235.255485,30.158831,201309.338860
571311_057,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040,0.271440,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.094880,201224.138043,234.874129,26.222579,200368.983104
571311_058,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040,0.271440,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.094880,201224.138043,234.874129,26.222579,200368.983104
571314_058,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040,0.271440,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.094880,201224.138043,234.874129,26.222579,200368.983104
571332_057,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040,0.271440,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.094880,201224.138043,234.874129,26.222579,200368.983104
571342_058,2018-04-18T13:18:28.175,2018,4,18,22,18,28.175040,0.271440,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.094880,201224.138043,234.874129,26.222579,200368.983104
571913_111,2018-04-18T13:25:25.147,2018,4,18,22,25,25.147440,0.430560,101.155917,94.914469,168.293807,30.025171,16.686896,70,130,233.661019,29.021196,202557.575767,234.712921,27.689329,198138.894773
