,MJD,Begining_time_of_the_event_YYYY,MM,DD,hh,mm,ss.ssssss,Duratin[s],Radiant(Right_Ascension),Radiant(Declination),Radiant(Azimuth),Radiant(Zenith),Radiant(Azimuth)_uncorrected,Radiant(Zenith)_uncorrected,Zenith_angle_correction,Initial_velocity(observed)[km/s],Initial_velocity(geocentric)[km/s],RCS[dBsm]at_max_SNR,SNR_max[dB],Beginning_height[km],End height [km],Azimuth of meteor start point,Zenith of meteor start point,Azimuth of meteor end point,Zenith of meteor end point,Semimajor_axis_(AU),Eccentricity,Perihelion_dist_(AU),Lon_of_asc_node_(deg),Inclination_(deg),Argument_of_periapsis_(deg),Period [yr],Heliocentric velocity [km/s],Radiant (ecliptic longitude),Radiant (ecliptic latitude),Solar longitude,RA error,dec error,az error,ze error,velocity error,a error,e error,q error,i error,omega error,P error,heliocentric velocity error,radiant (ecliptic longitude),radiant (ecliptic latitude),Hammer X,Hammer Y,Time from perihelion [days]
0,58226.6392,2018,4,18,15,20,26.42704,0.28704,277.959601,32.670861,72.511699,53.197142,72.690947,52.6164,0.861563,45.82619,44.159604,-5.317103,39.587669,108.633399,100.708234,69.659195,1.814851,254.173708,4.00728,2.575766,0.625271,0.965214,28.293625,80.968357,205.94777,4.133896,37.534975,281.962056,55.777763,28.293625,0.195793,0.164672,0.157323,0.119503,0.122073,0.105822,0.015125,0.001829,0.283425,1.426678,0.254954,0.122073,0.195793,0.164672,0.183955,0.937282,-20.110825
1,58226.73301,2018,4,18,17,35,31.75744,0.2028,279.456662,27.898955,94.93767,28.605394,94.845397,28.577698,0.466467,44.409604,42.811001,-32.660007,12.618939,111.438856,103.587448,167.661245,0.376438,265.254151,2.32157,1.486782,0.37163,0.934249,28.385337,83.874112,222.016011,1.812888,34.042935,283.311031,50.899842,28.385337,4.538414,3.323056,4.50268,3.345896,1.52887,0.656323,0.205267,0.059856,5.575713,54.757073,1.295271,1.52887,4.538414,3.323056,0.18671,0.860936,-34.528093
2,58226.74307,2018,4,18,17,50,1.49488,0.28704,280.724896,31.714073,88.452351,25.41796,88.480809,25.468513,0.386296,45.903538,44.36877,-31.040253,15.965998,98.060911,86.537283,53.702961,2.596958,321.603617,2.103444,2.214445,0.558639,0.977369,28.395177,82.864058,202.257431,3.295319,36.784347,285.844693,54.56269,28.395177,0.998849,0.822563,1.509825,0.683922,0.260472,0.288705,0.056277,0.008227,1.143842,7.353856,0.649457,0.260472,0.998849,0.822563,0.145718,0.917773,-17.798237
3,58226.77205,2018,4,18,18,31,44.68544,0.26208,278.927663,31.844441,96.243571,15.316402,96.042183,15.550213,0.242708,44.673762,43.165971,-34.828041,10.639508,101.670381,90.470311,95.245178,2.132798,92.153935,0.47276,2.017848,0.522296,0.963935,28.4235,80.884278,207.975338,2.866373,36.254628,283.244378,54.871681,28.4235,3.261224,2.199,5.865953,2.382097,0.56207,0.681589,0.146457,0.027959,3.12111,20.344154,1.517341,0.56207,3.261224,2.199,0.174468,0.923041,-22.380389
4,58226.81723,2018,4,18,19,36,48.23488,0.33696,284.970784,29.71925,126.174607,8.282653,123.949554,8.571049,0.168437,39.405721,37.75969,-28.477117,18.097666,100.773796,87.993262,273.218662,1.021392,289.252718,2.365771,1.079043,0.103376,0.967496,28.467665,77.517712,232.42374,1.120878,30.586624,291.39582,52.050061,28.467665,0.27432,0.207229,0.443348,0.244159,0.025367,0.011424,0.007937,0.001895,0.233708,6.629388,0.017801,0.025367,0.27432,0.207229,0.087521,0.877868,-49.437546
5,58226.83277,2018,4,18,19,59,10.89256,0.4056,282.939137,33.119665,178.948057,1.734621,160.180042,1.805645,0.037448,38.196715,36.543635,-30.385789,15.574183,101.29379,86.239988,165.57925,1.492916,166.948455,1.437841,1.179527,0.171338,0.977429,28.482856,72.888874,215.147027,1.281038,31.69994,289.431645,55.687165,28.482856,2.257515,1.146681,44.244148,1.017876,0.026592,0.041015,0.034873,0.02395,0.602086,29.373881,0.067618,0.026592,2.257515,1.146681,0.103569,0.93468,-32.427357
6,58227.60817,2018,4,19,14,35,46.0716,0.23712,271.983217,37.615815,65.266894,54.718093,65.508141,54.112499,0.858893,46.640014,45.006226,4.924851,52.124076,105.320654,98.884979,73.530054,2.921792,233.429534,2.074891,56.254754,0.982996,0.956567,29.240659,75.700206,205.326903,421.928484,41.629012,273.244531,61.030395,29.240659,0.427144,0.290865,0.252102,0.267437,0.305966,292.219065,0.038019,0.002937,0.568863,1.828686,396.606409,0.305966,0.427144,0.290865,0.256455,1.019888,-17.642676
7,58227.62785,2018,4,19,15,4,6.29736,0.24024,270.327499,35.077524,71.24698,48.85556,71.462327,48.308008,0.869266,43.507462,41.784137,-22.496459,22.809807,103.628273,96.728729,136.723269,1.2636,234.522568,4.21107,3.264824,0.717257,0.923105,29.259886,73.587698,216.278504,5.899153,38.465347,270.51316,58.513853,29.259886,0.803221,0.668228,0.701958,0.487362,0.399803,0.653006,0.052808,0.009192,1.006222,4.85661,1.802247,0.399803,0.803221,0.668228,0.301486,0.982838,-26.38296
8,58227.63593,2018,4,19,15,15,44.61888,0.31512,279.018536,35.446651,68.809706,53.18063,69.07077,52.258817,1.254199,38.145232,36.194654,-35.575202,11.874422,99.554437,92.07355,74.901706,2.494215,244.243688,3.238404,1.353308,0.288463,0.962928,29.267783,69.805279,215.369916,1.574327,33.161047,284.122894,58.442264,29.267783,1.88054,1.695152,1.729866,1.024048,0.876645,0.207463,0.094042,0.024357,2.402368,26.557871,0.366489,0.876645,1.88054,1.695152,0.160993,0.977878,-30.739394
10,58227.73361,2018,4,19,17,36,23.51784,0.26832,266.489888,38.601742,70.36868,15.261197,71.0369,15.467784,0.276372,41.835402,40.234478,-30.872467,14.60641,101.976319,91.601508,44.058252,2.107635,355.61672,1.100715,4.93135,0.811966,0.927259,29.363212,68.236827,214.056437,10.950874,39.627502,264.15668,61.96748,29.363212,2.224566,1.82812,6.006101,1.507368,0.312555,4.006769,0.10682,0.023581,2.0291,11.777482,15.81074,0.312555,2.224566,1.82812,0.336505,1.0375,-24.197976
