,Unnamed: 0,# ID,MJD,YYYY,MM,DD,hh,mm,ssssssss,Duration_s,RA_(deg),Dec_(deg),Az_(deg),Ze_(deg),Az_uncorr_(deg),Ze_uncorr_(deg),Ze_correction_(deg),Obs_initial_vel_(km_per_s),Geocentric_vel_(km_per_s),RCS_(dBsm),SNR_(dB),Start_hgt_(km),End_hgt_(km),Az_of_start_point_(deg),Ze_of_start_point_(deg),Az_of_end_point_(deg),Ze_of_end_point_(deg),Semimajor_axis_(AU), Eccentricity,Perihelion_dist_(AU),Lon_of_asc_node_(deg),Inclination_(deg),Argument_of_periapsis_(deg),Period_(yr),Heliocentric_vel_(km_per_s), Radiant_ecl_lon_(deg), Radiant_ecl_lat_(deg),Sol_lon_(deg),RA_error_(deg),Dec_error_(deg),Az_error_(deg),Ze_error_(deg),Vel_error_(deg),Semimajor_axis_error_(AU),Eccentricity_error, Perihelion_dist_error_(AU),Inclination_error_(deg),Argument_of_periapsis_error_(deg),Period_error_(yr),Heliocentric_vel_error,Ecl_lon_error_(deg),Ecl_lat_error_(deg),Hammer_X,Hammer_Y, Time_from_Perihelion_(days),class,s-YYYY,s-MM,s-DD,s-hh,s-mm,s-ssss,az1(start)[deg]camera,az2(end)[deg]camera,ev1(start)[deg]camera,ev2(end)[deg]camera,flag,mag_iccd,mag_err,mag(original),duration[sec]camera,average_mag_iccd,abs_mag,average_abs_mag,average_abs_mag_err
0,0,1011198,55099.44982,2009,9,25,10,47,44.70992,0.31512,351.945703,9.338749,107.795679,51.235036,107.325367,47.108879,4.865696,19.665584,15.894531,-14.957467,32.649442,85.124974,80.681649,122.56047,2.674715,240.637049,1.019879,1.720973,0.585481,0.713377,182.374727,5.908756,257.384713,2.257674,35.28638,356.351269,11.763592,182.374727,1.288859,1.094288,0.425766,0.983032,0.403432,0.116035,0.025428,0.013025,0.819226,3.805202,0.228884,0.403432,1.288859,1.094288,1.601979,0.224169,-48.13021,  spo   ,2009,9,25,19,47,44.93333333,224.844086,242.958893,89.15757,88.935417,10,7.515511,0.299879,6.823303,0.083416,8.26,7.862859073,8.607348073,0.299879
1,1,1011258,55099.52498,2009,9,25,12,35,58.57904,0.51168,354.3434,3.530299,137.910538,38.952702,136.511882,36.112431,3.454944,19.954101,16.387703,-17.591513,30.742483,94.171798,85.952711,105.814322,2.173836,348.973148,2.263199,1.808737,0.611772,0.702203,182.448391,2.852538,257.861743,2.432557,35.637886,356.211584,5.487389,182.448391,0.115613,0.170194,0.003486,0.167702,0.043175,0.010187,0.002253,0.001061,0.111593,0.174842,0.02055,0.043175,0.115613,0.170194,1.626854,0.104811,-47.471004,  spo   ,2009,9,25,21,35,58.76666667,55.721733,350.944977,88.908661,87.999588,101,2.963922,0.327581,2.943943,0.283617,3.557058824,3.092754408,3.685891232,0.327581
2,2,1011264,55099.53206,2009,9,25,12,46,10.0148,0.37128,21.085261,3.881973,112.806153,54.958932,112.433392,53.083259,2.30511,28.924405,26.400223,-15.282537,30.936777,105.063434,98.618532,132.182865,2.171984,276.803811,2.900414,1.353591,0.782533,0.294362,2.455327,5.69923,127.534647,1.574822,33.260788,20.941176,-4.626045,182.455327,0.115287,0.110793,0.068568,0.088271,0.059098,0.009906,0.001437,0.001745,0.140632,0.363371,0.017287,0.059098,0.115287,0.110793,1.227065,-0.084842,-45.304128,  spo   ,2009,9,25,21,46,10.13333333,274.089783,269.579315,87.518646,87.996895,101,6.794795,0.173883,8.628847,0.116783,8.468888889,6.685976425,8.360070314,0.173883
3,3,1011366,55099.64221,2009,9,25,15,24,46.85968,0.22464,31.139416,-1.977874,149.740561,41.050546,148.838785,40.061033,1.253162,33.027367,30.968738,-16.553523,27.283371,101.014872,95.295766,300.987809,0.684927,323.372183,3.552973,1.321211,0.845464,0.204175,2.563287,23.848771,137.590135,1.518653,33.021971,28.292624,-13.723244,182.563287,0.254209,0.345128,0.203143,0.295345,0.139877,0.019271,0.003651,0.00442,0.689927,0.943572,0.033233,0.139877,0.254209,0.345128,1.084807,-0.24854,-41.609678,  spo   ,2009,9,26,24,24,46.93333333,317.590454,319.596558,87.950211,87.477165,1,5.025154,0.205291,4.766378,0.083417,6.316,5.003072251,6.293918251,0.205291
4,4,1011376,55099.64459,2009,9,25,15,28,12.53008,0.28392,35.209247,22.766339,115.565977,23.074167,114.919877,23.045434,0.517864,37.851742,36.042837,-18.902528,24.232252,98.878558,89.114586,344.33068,1.133306,309.983098,3.67549,1.036607,0.95064,0.051167,182.56562,33.598553,341.301998,1.05541,30.122386,40.422499,8.255047,182.56562,0.333625,0.324326,0.654845,0.1837,0.05084,0.014276,0.001296,0.001754,1.244825,0.817044,0.021805,0.05084,0.333625,0.324326,0.897332,0.147764,-35.97542,  spo   ,2009,9,26,24,28,12.56666667,316.132202,313.003937,87.513214,87.016899,1,6.690576,0.193636,6.401617,1.001001,8.253,6.714640562,8.277064562,0.193636
5,5,1011469,55099.66879,2009,9,25,16,3,3.48368,0.33384,23.234336,4.374867,176.443883,30.525248,174.952616,29.479661,1.094025,30.18621,28.052917,-22.407856,24.902145,101.647011,92.982239,135.300784,1.25104,18.915349,2.148352,1.362851,0.81501,0.252114,2.589341,6.957641,131.841087,1.591009,33.329505,23.122678,-4.960403,182.589341,0.244292,0.364096,0.426383,0.328541,0.097802,0.026154,0.002453,0.005311,0.58589,1.388785,0.04581,0.097802,0.244292,0.364096,1.192693,-0.090695,-43.436838,J5_sTa  ,2009,9,26,25,3,3.566666667,38.855015,19.564165,88.951828,88.174484,0,7.495423,0.16071,6.663429,0.116783,9.25,7.459432264,9.214009264,0.16071
6,6,1011581,55099.69093,2009,9,25,16,34,56.22464,0.156,68.294514,38.108616,72.433198,31.184863,72.626507,31.230208,0.230061,65.820594,64.683933,-6.919566,38.768896,107.167963,98.230599,15.165878,0.895956,270.014583,2.754797,6.509648,0.894596,0.686146,182.61104,148.13641,250.650337,16.608724,40.274668,72.379383,15.988953,182.61104,0.359179,0.293571,0.510217,0.251596,0.177456,1.178017,0.018136,0.011412,0.726725,3.191627,4.575289,0.177456,0.359179,0.293571,0.344541,0.279236,-38.915725,  spo   ,2009,9,26,25,34,56.26666667,283.280487,273.53183,88.282005,87.484314,1,4.323902,0.223733,4.451055,0.083416,5.5325,4.173311617,5.381909617,0.223733
7,7,1012094,55099.75278,2009,9,25,18,4,0.4112,0.07176,82.600866,25.413663,101.179356,28.104945,101.05125,28.201287,0.169983,72.346854,71.310847,-21.263307,20.773394,125.732634,121.253282,95.212294,2.64678,90.995478,1.602787,-19.158733,1.048217,0.923767,182.671669,176.237995,212.206824,,42.467495,83.315583,2.147153,182.671669,1.827387,1.559437,2.289925,1.285965,0.920867,57.722608,0.104054,0.029586,2.828912,13.32502,518.389298,0.920867,1.827387,1.559437,0.165487,0.037506,-21.430541,  spo   ,2009,9,26,27,4,0.633333333,287.783417,285.858246,88.327538,87.759895,1,3.095496,0.253364,3.062166,0.083416,4.326,2.595938167,3.826442167,0.253364
8,8,1012103,55099.75331,2009,9,25,18,4,46.14728,0.27144,87.976347,-5.379655,132.594943,52.574342,132.267251,52.221987,0.52635,57.97971,56.676563,-9.165583,37.659457,103.945176,94.384454,147.132014,4.075097,292.407346,3.392006,1.475615,0.346893,0.963735,2.672188,125.944383,31.895606,1.792502,34.064042,87.700701,-28.801531,182.672188,0.044713,0.052675,0.017067,0.053772,0.070755,0.014183,0.005602,0.00125,0.129879,1.384392,0.025843,0.070755,0.044713,0.052675,0.080578,-0.497526,-27.097653,  spo   ,2009,9,26,27,4,46.63333333,262.214294,279.125244,88.474243,87.849731,101,5.100679,0.217559,5.021829,0.083416,6.03,5.01116036,5.94048136,0.217559
9,9,1012411,55099.78232,2009,9,25,18,46,32.25608,0.2028,105.813818,8.202331,113.462483,47.726113,113.288237,47.592912,0.333181,68.890364,67.724241,9.535317,56.464256,104.984091,95.627205,127.79328,3.678135,269.086871,2.469103,9.591134,0.909899,0.864167,2.70062,153.805519,315.231953,29.703318,40.812595,106.165596,-14.352696,182.70062,0.089161,0.075514,0.00071,0.113246,0.151289,1.567289,0.014374,0.002879,0.175651,1.229343,7.366694,0.151289,0.089161,0.075514,-0.227078,-0.250268,29.245116,  spo   ,2009,9,26,27,46,32.4,256.291809,267.014191,88.351563,87.728279,101,1.971412,0.263828,2.215046,0.083416,3.42,1.861317066,3.309905066,0.263828
